Timestamp,City,AQI,Dominant Pollutant,Particulate Matter (pm 2.5),Particulate Matter (pm 10),Carbon monoxide (co),Ozone (o3),Humidity (h),Atmospheric Pressure (p),Rainfall or Precipitation (r),Temperature (t),Wind Speed (w)
3/19/2025 15:00,Bangkok,116,pm25,116.0,57.0,0.1,20.5,9.0,1014.4,1.1,32.8,2.0
3/19/2025 14:50,Rayong,91,pm25,91.0,38.0,0.1,16.6,9.0,1009.2,6.6,31.2,2.0
3/19/2025 14:50,Yala,54,pm25,54.0,,,,55.1,1009.5,99.9,32.8,6.1
3/19/2025 14:50,Nakhon Pathom,102,pm25,102.0,25.0,,6.0,8.8,1014.0,,31.2,1.0
3/19/2025 14:50,Nakhon Sawan,97,pm25,97.0,70.0,0.1,14.2,9.4,1011.7,99.1,31.7,1.5
3/19/2025 14:50,Chiang Rai,38,pm25,38.0,20.0,0.1,12.7,84.3,985.8,,17.7,3.0
3/19/2025 14:50,Udon Thani,88,pm25,88.0,45.0,,,13.4,996.9,,26.0,3.0
3/19/2025 14:50,Khon Kaen,135,pm25,135.0,,,,13.5,998.2,0.4,24.7,1.5
3/19/2025 14:50,Surat Thani,52,pm25,52.0,48.0,0.1,4.4,58.0,1015.3,,31.7,2.0
3/19/2025 14:50,Chiang Mai,141,pm25,141.0,82.0,,14.6,8.9,977.8,,32.3,2.0
3/19/2025 14:50,Satun,51,pm25,51.0,21.0,0.1,6.4,47.4,1011.8,0.8,34.4,4.1
3/19/2025 14:50,Krabi,42,pm25,42.0,,,,70.0,1008.0,,31.0,3.0
3/19/2025 14:50,Bangkok,116,pm25,116.0,57.0,0.1,20.5,9.0,1014.4,1.1,32.8,2.0
3/19/2025 14:47,Yala,54,pm25,54.0,,,,55.1,1009.5,99.9,32.8,6.1
3/19/2025 14:47,Rayong,91,pm25,91.0,38.0,0.1,16.6,9.0,1009.2,6.6,31.2,2.0
3/19/2025 14:47,Chiang Rai,38,pm25,38.0,20.0,0.1,12.7,84.3,985.8,,17.7,3.0
3/19/2025 14:47,Nakhon Pathom,102,pm25,102.0,25.0,,6.0,8.8,1014.0,,31.2,1.0
3/19/2025 14:47,Nakhon Sawan,97,pm25,97.0,70.0,0.1,14.2,9.4,1011.7,99.1,31.7,1.5
3/19/2025 14:47,Chiang Mai,141,pm25,141.0,82.0,,14.6,8.9,977.8,,32.3,2.0
3/19/2025 14:47,Udon Thani,88,pm25,88.0,45.0,,,13.4,996.9,,26.0,3.0
3/19/2025 14:47,Khon Kaen,135,pm25,135.0,,,,13.5,998.2,0.4,24.7,1.5
3/19/2025 14:47,Surat Thani,52,pm25,52.0,48.0,0.1,4.4,58.0,1015.3,,31.7,2.0
3/19/2025 14:47,Satun,51,pm25,51.0,21.0,0.1,6.4,47.4,1011.8,0.8,34.4,4.1
3/19/2025 14:47,Krabi,42,pm25,42.0,,,,70.0,1008.0,,31.0,3.0
3/19/2025 14:47,Bangkok,116,pm25,116.0,57.0,0.1,20.5,9.0,1014.4,1.1,32.8,2.0
3/19/2025 15:00,Satun,51,pm25,51.0,21.0,0.1,6.4,47.4,1011.8,0.8,34.4,4.1
3/19/2025 15:00,Krabi,42,pm25,42.0,,,,70.0,1008.0,,31.0,3.0
3/19/2025 15:00,Surat Thani,52,pm25,52.0,48.0,0.1,4.4,58.0,1015.3,,31.7,2.0
3/19/2025 15:00,Chiang Mai,141,pm25,141.0,82.0,,14.6,8.9,977.8,,32.3,2.0
3/19/2025 15:00,Udon Thani,88,pm25,88.0,45.0,,,13.4,996.9,,26.0,3.0
3/19/2025 15:00,Khon Kaen,135,pm25,135.0,,,,13.5,998.2,0.4,24.7,1.5
3/19/2025 15:00,Nakhon Sawan,97,pm25,97.0,70.0,0.1,14.2,9.4,1011.7,99.1,31.7,1.5
3/19/2025 15:00,Chiang Rai,38,pm25,38.0,20.0,0.1,12.7,84.3,985.8,,17.7,3.0
3/19/2025 15:00,Nakhon Pathom,102,pm25,102.0,25.0,,6.0,8.8,1014.0,,31.2,1.0
3/19/2025 15:00,Rayong,91,pm25,91.0,38.0,0.1,16.6,9.0,1009.2,6.6,31.2,2.0
3/19/2025 15:00,Yala,54,pm25,54.0,,,,55.1,1009.5,99.9,32.8,6.1
3/19/2025 16:00,Bangkok,98,pm25,98.0,56.0,0.1,20.5,8.7,1013.4,1.1,33.4,2.0
